,Senator Name,Decision,Bill
846,Hoeven (R-ND),1,8
847,Inhofe (R-OK),1,8
848,Isakson (R-GA),1,8
849,Johnson (R-WI),1,8
850,Kaine (D-VA),0,8
851,Kennedy (R-LA),1,8
852,King (I-ME),0,8
853,Klobuchar (D-MN),0,8
854,Lankford (R-OK),1,8
855,Leahy (D-VT),0,8
856,Lee (R-UT),1,8
857,Manchin (D-WV),0,8
858,Markey (D-MA),0,8
859,McCain (R-AZ),1,8
860,McCaskill (D-MO),0,8
861,McConnell (R-KY),1,8
862,Menendez (D-NJ),0,8
863,Merkley (D-OR),0,8
864,Moran (R-KS),1,8
865,Murkowski (R-AK),1,8
866,Murphy (D-CT),0,8
867,Murray (D-WA),0,8
